Ensembl ID,Cell Count,Gene Name
ENSG00000184445,223,KNTC1
ENSG00000126012,223,KDM5C
ENSG00000154222,223,CC2D1B
ENSG00000186020,223,ZNF529
ENSG00000185252,223,ZNF74
ENSG00000131408,223,NR1H2
ENSG00000112062,223,MAPK14
ENSG00000170515,222,PA2G4
ENSG00000198353,222,HOXC4
ENSG00000171862,222,PTEN
ENSG00000177374,222,HIC1
ENSG00000196092,222,PAX5
ENSG00000196843,222,ARID5A
ENSG00000256463,221,SALL3
ENSG00000253293,221,HOXA10
ENSG00000141510,220,TP53
ENSG00000068323,220,TFE3
ENSG00000168283,220,BMI1
ENSG00000072736,220,NFATC3
ENSG00000121691,220,CAT
ENSG00000184357,220,HIST1H1B
ENSG00000234127,220,TRIM26
ENSG00000153234,220,NR4A2
ENSG00000132024,220,CC2D1A
ENSG00000055609,219,KMT2C
ENSG00000134323,219,MYCN
ENSG00000198169,219,ZNF251
ENSG00000171291,219,ZNF439
ENSG00000165259,219,HDX
ENSG00000163808,219,KIF15
ENSG00000181896,219,ZNF101
ENSG00000100722,218,ZC3H14
ENSG00000170949,218,ZNF160
ENSG00000197024,218,ZNF398
ENSG00000198900,218,TOP1
ENSG00000115641,218,FHL2
ENSG00000181450,218,ZNF678
ENSG00000143578,218,CREB3L4
ENSG00000125533,218,BHLHE23
ENSG00000171786,218,NHLH1
ENSG00000069011,218,PITX1
ENSG00000159692,218,CTBP1
ENSG00000183309,218,ZNF623
ENSG00000103199,218,ZNF500
ENSG00000163481,217,RNF25
ENSG00000198538,217,ZNF28
ENSG00000165672,217,PRDX3
ENSG00000188070,217,C11orf95
ENSG00000102189,217,EEA1
ENSG00000160310,217,PRMT2
